Name,Parent Type,Description,Attributes 1,Attributes 2,Attributes 3,Attributes 4,Attributes 5,Attributes 6,Attributes 7,Attributes 8,Attributes 9,Attributes 10,Attributes 11,Attributes 12,Attributes 13,Attributes 14,Attributes 15,Attributes 16,Attributes 17,Attributes 18,Attributes 19,Attributes 20,Attributes 21,Attributes 22,Attributes 23,Attributes 24,Attributes 25,Attributes 26,Attributes 27,Attributes 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workspace,Project Management,Project,Scope , Project Name , Project Function , Project Type , Project Visibility , Access Type , Customer , Project Number , Folder Classification , Publish On Connect , Count , Primary Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document,DOCUMENTS,Document,Version , File Version , Version Date , Secondary Keys , Primary Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issue,Change,A Issue on any of the object,Priority , Co-Owners , Problem Type , Resolution Date , Internal Priority , Title , Actual End Date , Actual Start Date , Estimated End Date , Estimated Start Date , Action Taken , Escalation Required , Issue Category , Issue Classification , Public , Resolution Recommendation , ResolutionStatement , Steps To Reproduce , Waiting On , Wait On Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Workspace Vault,,Project Vault,Allow Duplicates , Global Read , Project Security Approach , Access Type , Secondary Keys , Default User Access , Project Role Vault Access , Folder Classification , Folder Path , Publish On Connect , Originator , Title , Count , Primary Key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Route,,Route,Current Route Node , Route Instructions , Title , Route Completion Action , Route Status , Co-Owners , Sub Route Visibility , Task Edit Setting , Restrict Members , Route Base Purpose , Restart Upon Task Rejection , Auto Stop On Rejection , Preserve Task Owner , Requires ESign , Demote On Rejection , Route Activity State , Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event,,Event,Event Type , Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbox Task,,Inbox Task,Comments , Reviewers Comments , Due Date Offset , Review Comments Needed , Review Task , Task Comments Needed , Template Task , Route Owner Task , Route Owner UG Choice , User Group Action , User Group Level Info , Originator , Title , Initial Task , Actual Completion Date , Approval Status , Route Action , Route Instructions , Scheduled Completion Date , Approvers Responsibility , Route Node ID , Task Requirement , Allow Delegation , Escalation Recipients , Route Task User , Route Task User Company , Assignee Set Due Date , Date Offset From,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publish Subscribe,,Publish Subscribe,Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOCUMENTS,,Abstract supertype for all documents,Designated User , Access Type , Checkin Reason , Language , Is Version Object , Move Files To Version , Suspend Versioning , File Created Date , File Dimension , File Duration , File Modified Date , File Size , File Type , Originator , Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Management,,Top level abstract type for managing projects and tasks,Notes , Constraint Date , Percent Complete , Schedule Duration Units , Task Actual Duration , Task Actual Finish Date , Task Actual Start Date , Task Estimated Duration , Task Estimated Finish Date , Task Estimated Start Date , Task Constraint Date , Source Id , Originator , Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issue Category,,,Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Issue Classification,,,Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification,,Object type for a node in a taxonomy,mxsysInterface , Originator , Title , Count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change,,"An abstract type, parent of any type that represents potential change actions to other objects, such as ECO, ECR, and Issue.",Originator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decision,,Used to rationalize a requirement.,Originator , Title,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
